TranslatedRecipeName,TotalTimeInMins
Guilt Free Coconut Barfi,40
Kerala Chicken Curry  With Freshly Ground Spice,55
Fulkopir Paturi,85
Apple Tart with Puff Pastry  ,45
Broccoli Soup,25
Karnataka Special Huli Tovve,40
Garlic Tikki,50
Baked Fish Crisps  ,40
Left Over Vadai Upma,15
Hyderabadi Chand Biscuits,40
Mullu Murukku,50
Prawns Fried Rice,40
Homemade Vada Pav  With Spinach Corn Tikk,60
Carrot Pulao,50
Gur Paare  ,45
Spinach & Garlic Potato Patties,30
Pumpkin Peas Palya,30
Thandai Srikhand Tart,100
Masala Dosa  With Red Chutne,55
Palak ,45
Peas and Peel Vegetables ,30
How To Boil Eggs At Hom,10
Boiled Egg With Salt And Pepper,12
Spinach Thalipeeth,35
Paneer Satay,45
Pumpkin Almond,40
Taiwanese Pineapple Cake,45
Grilled lentil,35
Chettinad Vengaya Kosu  ,35
Greek Style Spinach Spanakopita,70
Lauki Burfi With Paneer,50
Menthi Aaku Badeela Koora,40
Microwaved Eg,15
Sesame Kameer Good Ride ,20
Green Pea Pakoras,40
Sooji Halwa Breakfast Bowl,20
Banana Digestive Pudding  With Pistachio,5
Chawli Ki Phali & Aloo Sabzi,30
Karnataka Style Gasagase Payasa,30
Meethe Chawal,50
Navratan Korma,65
Rice,25
Malpua  with Rabri ,65
Mexican Style Omelette With Avocado Dressing,30
Bavarian Mushroom Sauce,25
Paneer Mushroom Stuffed Spinach Wrap Flavoured With Prune,55
Karpooravalli Chutney  ,15
Star Trek Curry  ,30
Chicken With Mushroom Sauce,25
Goan Chicken Vindaloo,50
Indo Chinese Hot and Sour Spinach Soup,30
Kashmiri Kokur T Nadir,70
Spicy Chickpea Tacos  With Indian Twis,30
Nepalese Style Dhal Bhat,40
Ginger Sesame Chicken With Bok Choy And Mushrooms,40
Murungakkai Mor Kuzhambu,30
Parsi Style Lagan Sara Istew,60
Arunachal Pradesh Zan,20
Green Chana Chutney ,15
Mixed Beans Vegetable Pulao,45
Pacha Manga Pachadi,35
Odiya Style Chana Dal With Potato & Pumpkin Curry,35
Black Pepper Singhada Vegetable,40
Puli Upma,30
Whole Wheat Eggless Cinnamon & Raisin Swirl Bread,90
Egg Pulao,70
Methi Muthiya ,50
High Protein Spinach Basil & Cheese Omelette,40
Mixed Vegetable Sagu,45
Mexican Lime Chicken,100
Andhra Style Cucumbers / Caramel Undalu  ,160
Makhane vegetable,40
Szechuan Vegetarian Fried Ric,50
Achari Gobi Shimla Mirch Ki Sabzi,25
Carrot and Oats  Whole Wheat Bread,65
Chole Biryani,550
Herbed Butter Garlic Quinoa,30
Rajgira Paneer Paratha  ,25
Grilled Paneer Pineapple Sandwich,25
Oats and Vegetable Kebab,50
Strawberry Chocolate Loaf Cake,60
Cheddar Beer Bread,40
Healthy Fruit & Nut Watermelon Dessert  With Greek Yogur,15
Tandoori Potatoes,40
Mango Kalakand,200
Sesame Noodles  With Napa Cabbag,30
Bengali Potol Bhaj,35
Kerala Style Arabic Vegetable,40
Duration Special Nihari,135
Cabbage Onion Vada,220
Cantonese Chicken With Mushrooms,45
Goan Style Banana Halwa  ,35
Chocolate Coffee Sticky Cake,70
Chole Capsicum Masala,70
Carrot Tadka Raita,15
Besan Arbi Roast,50
Carrot and Capsicum Rice,65
Senai Potato Curry,45
"Date, Nuts And Quinoa Energy Bite",25
Gavarfali Ki Sukhi Sabzi ,40
Mullangi Curry,40
Dum Pukht Gosht,75
Idli Manchurian  With Oriental Twis,130
Konkani Style Avnas Ambe Sasam,15
Kakdi Chi Koshimbir,25
Chatpati Sattu Ki Kachori,60
Foxtail Millet Pongal,105
Shepuchi Bhaji  ,40
Bhindi and Capsicum Sabzi,45
Oats Ven Pongal,40
Kerala Style Chicken Chatti Pathiri,50
Black Eyed Peas Masala Vadas,50
Nawabi Paneer Curry,35
Broccoli Chilli Noodles With Grilled Salmon,55
Palak Pulao,50
Roasted Garlic Potato Soup,30
Vegetable Filled Souffle,65
Vegetarian Hakka Noodles,50
Mysore Chutney,65
Ragi Halwa  | Healthy Indian Sweet Made With Rag,65
Indian Festive Sweet Rice And Jamun Bhog,90
Raw Tomato Chutney,40
Raw Banana Raita,15
Vegan Burger  With Beans And Tofu Patt,80
Bengali Style Kucho Nimki  ,45
Tzatziki,25
Crispy Palak Pakora,40
Malabar Mutton Biryani,60
Thalicha Thayir Sadam,50
Eggless Fudgy Chocolate Chunk Brownie,60
Marwadi Gatte Ki Kadhi,55
Whole Wheat Flour Chakli,70
Raw Mango Dal Fry,40
KhiraSaku ,235
Maharashtrian Goda Masala Powder,300
Assamese Fish Fried Rice ,25
Chatpata Rajma Salad,40
Odisha Style Aloo Husband,40
Kashmiri Style Bharit Marchavangun,60
Karwar Style Bibya Usal  ,15
Chocolate Banana Smoothie Bowl,10
Rava Vada,40
Mushroom Caldine  | Vegetarian Goan Mushroom Curr,25
Thai Ice Tea,15
Awadhi Style Karela Ka Dulma,40
Tamarind Ginger Chutne,30
Whole Masala Gobhi,50
Konkani Style Maskasangi Magge Koddel,50
Karachi Biscuits,35
Malvani Masala Powder,15
Padipe Saasmi,35
Bengali Style Cholar Dal,50
Savory Flax Seed Multigrain Crackers,65
Broccoli & Bell Pepper Zunka,35
Stuffed Omelette  With Cheesy Garlic Mushroom & Cor,25
Vegetarian Sloppy Joe,180
Bengali Beetroot And Raw Banana Chop  ,65
Quick and Easy Bread Upma,45
Vegan Baingan Makhani  ,40
Thandai Kulfi,80
Crispy Eggless Pinwheels Bread,60
Watalappan,50
Calcutta Style Ghugni,290
Karantaka Style Seke Undlaka/ Undlige  ,30
Homemade Easy Gulab Jamun,45
Aamras Ki Kadhi,20
Kerala Pazham Pori,20
Mexican Taco  With Spicy Tofu Crumbl,25
Rava Ladoo  | Sooji Laddu,50
Mixed Millet Phulka,30
Pavakka Theeyal,50
Parsi Salli Boti,70
Smoked Tandoori Paneer Tikka,55
South Indian Coconut Chutney ,20
Khatti Meethi Tindora Sabzi,40
Chettinad Style Chilli Gobhi,50
Shandong Spicy Eggplant With Peppers And Potato  ,50
Achari Masala Powder,15
Roasted Fennel and Tomato Soup,60
Healthy Aloo Roll  ,60
Chicken Donne Biryani,70
Andey Ki Kheer,100
Lilve Ki Sabzi  ,60
Tomato Onion Cucumber Raita ,35
Pudina Idli,30
Kothamalli Thovayal  ,15
Tomato Noodle Soup,40
Cheesy Vegetarian Pizza Muffins,55
Moong Dal Tikki,155
Ari Pathiri  | Malabar Rice Flatbread,60
Amaranth Leaves Khichdi,40
Chole Semiya Pulao,35
Farali Pattice,60
Matar Paneer Galette,70
Udupi Red Parboiled Rice Shavige,120
Masala Roti ,40
Fruit And Nut Lauki Brownies,50
Maakhmi Dal,45
Corn Cheese Balls,40
Sorekai Majjige Huli  ,50
Dum Murgh Kali Mirch,50
Paneer Matar Keema,65
Palak Onion Kadhi Pakora,40
Dry Navratan Korma ,40
Madurai Spicy Tomato Chutney,20
Baked Cauliflower Samosa,85
Tomato Basil Chicken,45
How to Cook Root Vegetables like Potatoes using a Pressure Cooke,32
Turai Pyaz Hari Mirch Ki Sabzi,30
Baby Corn Carrot Sabzi,40
Moong Dal Dubka,25
Cucumber Honey Limeade,22
Konkani Style Vengaya Sagle,35
Kerala Style Fish Curry,40
Eggplant Steaks,30
Keri Na Gotla Nu Shaak,25
Indo Mexican Roasted Vegetable Taco  With Creamy May,45
Tomato Kurma,30
Bhojpuri Style Bharbhara,25
Maa Ki Dal,160
Mini Chilli Cheese Aloo Kulcha,65
Horsegram Chutney ,15
Onion Thepla,40
Cauliflower Thoran  ,20
Atte Ka Halwa,40
Stuffed Half Moon Shaped Kaju Burfi,65
Nellor Kathirika,45
Jeera Miri Kolambi,50
Savory Waffles With Roasted Peppers In Sun Dried Tomato Pesto,30
Chicken Kathi Roll,40
Guacamole Stuffed Quesadilla With Mint Mayo,40
Bharwa Lauki  In No Onion No Garlic Makhani Grav,60
Assamese Narasingh Masor Jhol  ,20
Shrimp Walnut Bruschetta  Flavored With Cheesy Di,60
Noodle Soup  with Vegetable,60
Kiwi Guava Spritzer,15
Soya Chunks Masala in Coconut Milk,40
Spicy Haryana Style Egg Curry ,45
Orange Lemon Tea Cake,45
Beetroot Chutney ,40
Watermelon Carrot Radish Juice,20
Fennel Potato Croquettes With Paneer,60
Drumstick Leaves Sabzi With Crushed Peanuts,30
Pudalangai Milagu Kootu,50
Vegetable Lo Mein,25
Doddapatre Soppina Chitranna  ,50
Bhindi Masala Gravy,50
Goan Style French Beans Foogath,25
Medu Vada With Onion ,35
Punjabi Sabut Moong Ki Dal ,40
Poha Ladoo With Chocolate And Coconut ,40
Coriander Semiya,20
Mango Chia Seeds Smoothie Topped with Muesli,20
Knol Khol Gravy,40
Corn Bhel,40
Egg And Spinach Breakfast Pizza,130
Dal Dhokli  With Sprouted Moong Da,55
Ragi Sankati,35
Instant Baked Aloo Tikki,15
Sukhe Chole,40
Parsi Style Dry Guava Curry ,45
Quick and Easy Eggless Whole Wheat Chocolate Cupcake,40
Corn and Spinach Whole Wheat Calzone,70
Dhaba Style Egg Curry,90
Masala Palak Bhurji,35
Broccoli & Water Chestnut Soup,40
Kadhai Tofu Sabji,25
Vrat Ki Kachori  ,40
Jeera Milagu Rasam,30
Bengali Style Hilsa Fish In Poppy Seeds & Yogurt Curry,40
Jeera Hing Aloo ,40
Malabar Style Dates Pickle,20
Carrot Semolina Phirni,40
Oil Free Gujarati Undhiyu,60
Karnataka Style Orange Peels Curry,30
Kerala Style Chakka Pal Kozhukattai,50
Achari Paneer Masala,30
Dhaba Style Tawa Pulao,35
Apple Burfi,30
Kerala Style Sugiyan  ,90
Carrot And Coriander Soup,25
Makki Ki Baked Mathri  ,50
Khara Bhath,40
Hyderabadi Chicken Shikampuri Kebab,55
Kadai Broccoli Masala,30
Palak Pakora,30
Bhindi Raita  ,30
Chana Methi Dal,45
Sheer Khurma,50
Chettinad Takkali Sadam,20
Aam Ki Launji,35
Baked Fish In Coconut Milk,90
Andhra Style Chicken Fry,50
Kashmiri Monj Haakh,50
Tamatar Chaat Banarasi Style,35
Mexican Salsa Chicken With Italian Cream Cheese,40
Okra Curry Without Coconut ,35
Baked Pasta  With Spinach And Artichok,75
Chicken Chilli Cheese Quesadillas,70
Eggless Oats Cranberry Almond Cookies,30
Italian Style Broccoli And Cauliflower Soup,30
Methi Moong Dal,45
Restaurant Style Chettinad Style Fish Curry,55
Arugula & Fig Salad,25
French Toast BLT Bagel Sandwich,40
Parmesan Cheese Biscuits,70
Sooji Manpasand Burfi,45
Eggless Beetroot Brownie  Made With Amaranth Flou,60
Paneer Bhurji Gravy ,50
Coconut Thumbprint Cookies With Pineapple And Apricot Preserve,165
Bharwa Karela With Sweet Potato Filling,55
Kerala Cherupayar Curry  ,90
Rava Kakdi Thalipeeth  ,30
Kachi Tikya,46
Nei Appam / Unniyappam,220
Maharashtrian Batatyacha Kees  ,35
Kathiri Urulai Masala Kuzhambu,40
Kashmiri Style Yakhni Pulao With Chicken,70
Mexican Black Bean Corn Soup,35
Potato Stuffed Dal Dhokli ,100
Methi Leaves Curry ,50
Malvani Fish Curry,40
Paruppu Thogayal,35
Potato Vindaloo ,40
Dibba Rotti/Minapa Rotti  ,280
Kasuri Malai Murgh,70
Chettinad Style Brinjal And Potato Mash,35
Crispy Bakwan Sayur  ,25
Spicy Sichuan Cauliflower,35
How To Make Homemade Idiyappam,150
Baklava,140
Vegetable Tagine,70
Spicy Kiwi Salsa  with Feta Chees,25
Mexican Brown Rice and Quinoa Casserole,60
Eggless Christmas Tree Chocolate Cookies,45
Swedish Saffron Buns,50
Saragva Nu Shaak,30
Bihari Aloo Bhujiya,30
Chiba Dhokli,20
Stuffed Mushroom  With Italian Sausag,35
Kohlrabi  ,25
Heart Shaped Tea Sandwiches,30
"Watermelon, Chena, Cucumber With Soy Dressing",25
Mixed Millet Khichdi,50
Golpapdi  | Gur Papdi | Sukhdi  | Gujarati Gol Papd,30
Chironji dal,90
Apple Upside Down Cake,55
Belle dosa,510
Mutton Ghee Roast,51
Green Chutney Rava Dhokla,25
Mamidikaya Pesara Pappu Pachadi,25
Strawberry Brownie Bars,65
Goan Style Sana  ,495
Raw Banana Stir Fry ,30
Zucchini Oatmeal Omelette,25
Pretzel Salad,20
Rajgira Ki Kheer,50
Attukal Soup  | Paya Sou,60
Spicy Mixed Vegetable Lollipop,45
Karuva Pillai Pachadi,20
Sour Arabi Vegetable,40
Shandong  Style Sweet Potato In Spicy  Caramel Sauce,30
Sarson Saag Pulao,50
Carrot Peanut Chutney,30
Milagu Rasam,65
Korean Style Kimchi Udon Stir Fry with Scallions,50
Jhinga Gavar,50
Chili Bajji,35
Mushroom 65  ,40
Whole Wheat Zucchini Cake,55
Phulkari Pulao ,45
Spicy Thai Pasta  With Roasted Vegetable,30
Garfield's Lasagna  With Minced Meat And Italian Spice,130
Chilli Paneer Quesadilla,40
Breakfast Enchiladas With Mushroom Sauce,55
Chettinad Vengaya Kosu,35
Caramel Apple Trifle,25
Saoji Methi Pulao,45
Chicken Sweet Potato & Dill Curry,40
Parsi Style Sekta Ni Sing,50
Karwar Style Varan Kadhi,25
Maharashtrian Style Kothimbir Oats Vadi,35
Carrot Pachadi With Coconut,15
Biryani Chamanthi,25
Dairy Free Chocolate Pudding,35
Carrot and Ginger Spiced Dosa,15
Mughlai Keema Paratha,35
Dried Chole,40
Strawberry Banana Sorbet,620
Grilled Chicken With Vegetables,25
Kadhai Tofu Sabji ,25
Fruit Sandwich,25
Palak Pulao,50
Leek Mushroom & Lemon Risotto,60
Rawal Pindi Style Chole,55
Sprouted Moong Dal,25
Ukadpendi,30
